system,horizon,mean,sd,min,max
trade,4,0.8154,0.0670,0.6195,0.9368
trade,8,0.8436,0.0682,0.6767,0.9353
trade,12,0.8275,0.0603,0.6752,0.9188
trade,16,0.8223,0.0565,0.7278,0.9293
