struct,nl,pers,eps,ej_t,acr_t,acp_t,ej_acr,d_real,d_pool,d_real_lo,d_real_hi,d_pool_lo,d_pool_hi,wilcoxon_p,n,degenerate_control,ej_acp
static,low,long,small,0.9714285714285718,0.9714285714285718,0.9642857142857146,0.9964285714285716,0.0,0.00714285714285714,-0.005357142857142822,0.005357142857142822,-0.005357142857142822,0.021428571428571398,0.27203944789573553,20,True,0.9821428571428573
static,low,long,med,0.9714285714285718,0.9714285714285718,0.9642857142857146,0.9964285714285716,0.0,0.00714285714285714,-0.005357142857142822,0.005357142857142822,-0.005357142857142799,0.02142857142857142,0.27203944789573553,20,True,0.9821428571428573
static,low,long,large,0.9392857142857144,0.9428571428571431,0.9321428571428573,0.9964285714285716,-0.0035714285714285475,0.0071428571428571895,-0.008928571428571369,0.0,-0.007142857142857073,0.025000000000000005,0.38893531091236555,20,True,0.9821428571428573
static,low,long,extreme,0.7875000000000002,0.7875000000000002,0.7767857142857146,0.9964285714285716,1.1102230246251566e-17,0.010714285714285721,-0.005357142857142822,0.005357142857142855,-0.0035714285714286086,0.02678571428571429,0.1598855052045215,20,True,0.9821428571428573
static,med,short,small,0.955357142857143,0.9464285714285717,0.9053571428571431,0.9910714285714286,0.008928571428571407,0.05,0.0017857142857142737,0.01785714285714285,0.008928571428571402,0.09821428571428573,0.05000563560015015,20,True,0.9267857142857144
static,med,short,med,0.955357142857143,0.9464285714285717,0.9053571428571431,0.9910714285714286,0.008928571428571407,0.05,0.0017857142857142737,0.017857142857142877,0.007142857142857178,0.1,0.05000563560015015,20,True,0.9267857142857144
static,med,short,large,0.9642857142857146,0.955357142857143,0.923214285714286,0.9910714285714286,0.00892857142857142,0.04107142857142858,0.0017857142857142794,0.01785714285714286,0.003571428571428592,0.08749999999999997,0.07363827012030266,20,True,0.9267857142857144
static,med,short,extreme,0.9232142857142861,0.9250000000000004,0.892857142857143,0.9910714285714286,-0.001785714285714296,0.030357142857142853,-0.0071428571428571504,0.0035714285714285475,-0.017857142857142884,0.07499999999999998,0.18485825379822074,20,True,0.9267857142857144
static,med,medium,small,0.955357142857143,0.9464285714285717,0.9053571428571431,0.9910714285714286,0.008928571428571407,0.05,0.0017857142857142737,0.01785714285714285,0.005357142857142871,0.09999999999999994,0.05000563560015015,20,True,0.9267857142857144
static,med,medium,med,0.955357142857143,0.9464285714285717,0.9053571428571431,0.9910714285714286,0.008928571428571407,0.05,0.0017857142857142737,0.017857142857142842,0.008928571428571425,0.09821428571428573,0.05000563560015015,20,True,0.9267857142857144
static,med,medium,large,0.9642857142857146,0.955357142857143,0.923214285714286,0.9910714285714286,0.00892857142857142,0.04107142857142858,0.0017857142857142737,0.01785714285714285,0.0035714285714285587,0.08749999999999998,0.07363827012030266,20,True,0.9267857142857144
static,med,medium,extreme,0.9232142857142861,0.9250000000000004,0.892857142857143,0.9910714285714286,-0.001785714285714296,0.030357142857142853,-0.008928571428571425,0.0035714285714285475,-0.012544642857142869,0.07683035714285694,0.18485825379822074,20,True,0.9267857142857144
static,med,long,small,0.955357142857143,0.9464285714285717,0.9053571428571431,0.9910714285714286,0.008928571428571407,0.05,0.0017857142857142737,0.017857142857142842,0.007142857142857178,0.09999999999999994,0.05000563560015015,20,True,0.9267857142857144
static,med,long,med,0.955357142857143,0.9464285714285717,0.9053571428571431,0.9910714285714286,0.008928571428571407,0.05,0.0017857142857142737,0.01785714285714285,0.007142857142857139,0.09999999999999998,0.05000563560015015,20,True,0.9267857142857144
static,med,long,large,0.9642857142857146,0.955357142857143,0.923214285714286,0.9910714285714286,0.00892857142857142,0.04107142857142858,0.0017857142857142794,0.01785714285714286,0.005357142857142849,0.08749999999999998,0.07363827012030266,20,True,0.9267857142857144
static,med,long,extreme,0.9232142857142861,0.9250000000000004,0.892857142857143,0.9910714285714286,-0.001785714285714296,0.030357142857142853,-0.0071428571428571504,0.0035714285714285475,-0.014285714285714296,0.07857142857142851,0.18485825379822074,20,True,0.9267857142857144
static,high,short,small,0.9357142857142863,0.9053571428571431,0.8964285714285717,0.9767857142857146,0.030357142857142888,0.03928571428571426,0.0035714285714285752,0.06428571428571433,0.008928571428571364,0.07678571428571422,0.04942075065958087,20,True,0.95
static,high,short,med,0.9392857142857147,0.9125000000000002,0.9000000000000004,0.9767857142857146,0.02678571428571431,0.03928571428571425,0.0035714285714285865,0.0589285714285714,0.008928571428571386,0.07321428571428569,0.04942075065958087,20,True,0.95
static,high,short,large,0.9535714285714288,0.9446428571428575,0.9303571428571432,0.9767857142857146,0.008928571428571452,0.023214285714285708,-0.005357142857142822,0.028571428571428564,1.0963452368173429e-17,0.0482142857142857,0.0742147163137559,20,True,0.95
static,high,short,extreme,0.9446428571428575,0.9428571428571433,0.9250000000000004,0.9767857142857146,0.0017857142857143238,0.01964285714285714,-0.014285714285714197,0.019642857142857174,-5.551115123125783e-18,0.04464285714285711,0.1372537974389985,20,True,0.95
static,high,medium,small,0.9357142857142863,0.9053571428571431,0.8964285714285717,0.9767857142857146,0.030357142857142888,0.03928571428571426,0.0035714285714285587,0.06428571428571431,0.008928571428571369,0.07499999999999998,0.04942075065958087,20,True,0.95
static,high,medium,med,0.9392857142857147,0.9125000000000002,0.9000000000000004,0.9767857142857146,0.02678571428571431,0.03928571428571425,0.0017857142857143292,0.0553571428571429,0.00714285714285714,0.07678571428571422,0.04942075065958087,20,True,0.95
static,high,medium,large,0.9535714285714288,0.9446428571428575,0.9303571428571432,0.9767857142857146,0.008928571428571452,0.023214285714285708,-0.005357142857142822,0.02678571428571431,7.188694084447891e-17,0.049999999999999975,0.0742147163137559,20,True,0.95
static,high,medium,extreme,0.9446428571428575,0.9428571428571433,0.9250000000000004,0.9767857142857146,0.0017857142857143238,0.01964285714285714,-0.014285714285714202,0.019642857142857177,-1.1241008124329703e-17,0.04285714285714288,0.1372537974389985,20,True,0.95
static,high,long,small,0.9357142857142863,0.9053571428571431,0.8964285714285717,0.9767857142857146,0.030357142857142888,0.03928571428571426,0.0035714285714285865,0.06785714285714287,0.008928571428571414,0.07325892857142834,0.04942075065958087,20,True,0.95
static,high,long,med,0.9392857142857147,0.9125000000000002,0.9000000000000004,0.9767857142857146,0.02678571428571431,0.03928571428571425,0.0035267857142857115,0.05535714285714288,0.00714285714285709,0.07499999999999996,0.04942075065958087,20,True,0.95
static,high,long,large,0.9535714285714288,0.9446428571428575,0.9303571428571432,0.9767857142857146,0.008928571428571452,0.023214285714285708,-0.007142857142857051,0.028571428571428536,0.001785714285714296,0.04999999999999995,0.0742147163137559,20,True,0.95
static,high,long,extreme,0.9446428571428575,0.9428571428571433,0.9250000000000004,0.9767857142857146,0.0017857142857143238,0.01964285714285714,-0.014285714285714225,0.019642857142857163,5.412337245047646e-18,0.04285714285714281,0.1372537974389985,20,True,0.95
smooth-drift,low,short,small,0.9714285714285718,0.9714285714285718,0.9785714285714286,0.9964285714285716,0.0,-0.007142857142857106,-0.005357142857142822,0.005357142857142822,-0.02321428571428564,0.008928571428571458,0.3881985564602972,20,True,0.9464285714285718
smooth-drift,low,short,med,0.9714285714285718,0.9714285714285718,0.9785714285714286,0.9964285714285716,0.0,-0.007142857142857106,-0.005357142857142822,0.005357142857142822,-0.02321428571428566,0.010714285714285732,0.3881985564602972,20,True,0.9464285714285718
smooth-drift,low,short,large,0.9392857142857144,0.9428571428571431,0.9214285714285715,0.9964285714285716,-0.0035714285714285475,0.017857142857142905,-0.008928571428571369,0.0,-0.008928571428571314,0.05,0.17815479750652485,20,True,0.9464285714285718
smooth-drift,low,short,extreme,0.7875000000000002,0.7875000000000002,0.7571428571428573,0.9964285714285716,1.1102230246251566e-17,0.03035714285714288,-0.005357142857142822,0.005357142857142855,-0.001785714285714274,0.07321428571428576,0.092977523052535,20,True,0.9464285714285718
smooth-drift,low,medium,small,0.9714285714285718,0.9714285714285718,0.9785714285714286,0.9964285714285716,0.0,-0.007142857142857106,-0.005357142857142822,0.005357142857142822,-0.02321428571428568,0.010714285714285721,0.3881985564602972,20,True,0.9464285714285718
smooth-drift,low,medium,med,0.9714285714285718,0.9714285714285718,0.9785714285714286,0.9964285714285716,0.0,-0.007142857142857106,-0.005357142857142822,0.005357142857142822,-0.023214285714285614,0.010714285714285631,0.3881985564602972,20,True,0.9464285714285718
smooth-drift,low,medium,large,0.9392857142857144,0.9428571428571431,0.9214285714285715,0.9964285714285716,-0.0035714285714285475,0.017857142857142905,-0.008928571428571369,0.0,-0.008928571428571296,0.05178571428571428,0.17815479750652485,20,True,0.9464285714285718
smooth-drift,low,medium,extreme,0.7875000000000002,0.7875000000000002,0.7571428571428573,0.9964285714285716,1.1102230246251566e-17,0.03035714285714288,-0.005357142857142822,0.005357142857142855,-0.0017857142857143323,0.07321428571428572,0.092977523052535,20,True,0.9464285714285718
smooth-drift,low,long,small,0.9714285714285718,0.9714285714285718,0.9785714285714286,0.9964285714285716,0.0,-0.007142857142857106,-0.005357142857142822,0.005357142857142822,-0.02321428571428565,0.010714285714285676,0.3881985564602972,20,True,0.9464285714285718
smooth-drift,low,long,med,0.9714285714285718,0.9714285714285718,0.9785714285714286,0.9964285714285716,0.0,-0.007142857142857106,-0.005357142857142822,0.005357142857142822,-0.02321428571428566,0.008928571428571513,0.3881985564602972,20,True,0.9464285714285718
smooth-drift,low,long,large,0.9392857142857144,0.9428571428571431,0.9214285714285715,0.9964285714285716,-0.0035714285714285475,0.017857142857142905,-0.008928571428571369,0.0,-0.008973214285714211,0.05,0.17815479750652485,20,True,0.9464285714285718
smooth-drift,low,long,extreme,0.7875000000000002,0.7875000000000002,0.7571428571428573,0.9964285714285716,1.1102230246251566e-17,0.03035714285714288,-0.005357142857142822,0.005357142857142855,-0.0017857142857143017,0.075,0.092977523052535,20,True,0.9464285714285718
smooth-drift,med,short,small,0.955357142857143,0.9464285714285717,0.9696428571428573,0.9910714285714286,0.008928571428571407,-0.01428571428571424,0.0017857142857142737,0.01785714285714286,-0.04107142857142852,0.01249999999999996,0.3581208425163541,20,True,0.917857142857143
smooth-drift,med,short,med,0.955357142857143,0.9464285714285717,0.9696428571428573,0.9910714285714286,0.008928571428571407,-0.01428571428571424,0.0017857142857142737,0.017857142857142856,-0.04107142857142851,0.010714285714285749,0.3581208425163541,20,True,0.917857142857143
smooth-drift,med,short,large,0.9642857142857146,0.955357142857143,0.9535714285714288,0.9910714285714286,0.00892857142857142,0.01071428571428571,0.0017857142857142794,0.017857142857142877,-0.026785714285714284,0.05357142857142851,0.6715664317280816,20,True,0.917857142857143
smooth-drift,med,short,extreme,0.9232142857142861,0.9250000000000004,0.8785714285714288,0.9910714285714286,-0.001785714285714296,0.04464285714285714,-0.008928571428571425,0.0035714285714285475,0.0017857142857143128,0.09468749999999977,0.08354325153658072,20,True,0.917857142857143
smooth-drift,med,medium,small,0.955357142857143,0.9464285714285717,0.9696428571428573,0.9910714285714286,0.008928571428571407,-0.01428571428571424,0.0017857142857142737,0.01785714285714284,-0.041071428571428474,0.012500000000000034,0.3581208425163541,20,True,0.917857142857143
smooth-drift,med,medium,med,0.955357142857143,0.9464285714285717,0.9696428571428573,0.9910714285714286,0.008928571428571407,-0.01428571428571424,0.0017857142857142737,0.01785714285714284,-0.03933035714285711,0.012499999999999973,0.3581208425163541,20,True,0.917857142857143
smooth-drift,med,medium,large,0.9642857142857146,0.955357142857143,0.9535714285714288,0.9910714285714286,0.00892857142857142,0.01071428571428571,0.0017857142857142737,0.017857142857142867,-0.02678571428571422,0.053571428571428534,0.6715664317280816,20,True,0.917857142857143
smooth-drift,med,medium,extreme,0.9232142857142861,0.9250000000000004,0.8785714285714288,0.9910714285714286,-0.001785714285714296,0.04464285714285714,-0.0071428571428571504,0.0035714285714285475,0.005357142857142822,0.09464285714285714,0.08354325153658072,20,True,0.917857142857143
smooth-drift,med,long,small,0.955357142857143,0.9464285714285717,0.9696428571428573,0.9910714285714286,0.008928571428571407,-0.01428571428571424,0.0017857142857142737,0.017857142857142877,-0.03928571428571424,0.012500000000000011,0.3581208425163541,20,True,0.917857142857143
smooth-drift,med,long,med,0.955357142857143,0.9464285714285717,0.9696428571428573,0.9910714285714286,0.008928571428571407,-0.01428571428571424,0.0017857142857142737,0.01785714285714284,-0.03928571428571424,0.010714285714285732,0.3581208425163541,20,True,0.917857142857143
smooth-drift,med,long,large,0.9642857142857146,0.955357142857143,0.9535714285714288,0.9910714285714286,0.00892857142857142,0.01071428571428571,0.0017857142857142737,0.017857142857142867,-0.026785714285714263,0.05714285714285712,0.6715664317280816,20,True,0.917857142857143
smooth-drift,med,long,extreme,0.9232142857142861,0.9250000000000004,0.8785714285714288,0.9910714285714286,-0.001785714285714296,0.04464285714285714,-0.0071428571428571504,0.0035714285714285475,0.0035714285714285804,0.09642857142857139,0.08354325153658072,20,True,0.917857142857143
